Path,Sample,FileName,Classifier,Reference
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_24F_MG1_H1,N701S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_1F_MG1_H2,N702S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_93F_MG1_H3,N703S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_12F_MG1_H4,N704S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_46F_MG1_H5,N705S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_61F_MG1_H6,N706S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_8F_MG1_H7,N707S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_90F_MG1_H8,N708S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_83F_MG1_H9,N709S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_9F_MG1_H10,N710S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_244F_MG1_H11,N711S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_63F_MG1_H12,N712S508,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_24N_MG1_G1,N701S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_1N_MG1_G2,N702S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_93N_MG1_G3,N703S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_12N_MG1_G4,N704S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_46N_MG1_G5,N705S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_61N_MG1_G6,N706S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_8N_MG1_G7,N707S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_90N_MG1_G8,N708S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_83N_MG1_G9,N709S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_9N_MG1_G10,N710S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_244N_MG1_G11,N711S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
/home/equ/mit_lieberman/raw_data/2020/D20-2578-4529L/D20-2578-4529L/split/,KIT_63N_MG1_G12,N712S507,Cacnes_classifiers/Cacnes_acera_lineagelevel.classifier Cacnes_classifiers/Cacnes_acera_phylogrouplevel.classifier,Pacnes_C1
